Candidate,CV F1,Train F1,Generalization Gap,Selection Method
Baseline Random Forest,0.5128551727930128,0.6667645513810166,0.1539093785880038,Baseline
Tuned Random Forest,0.5121833479487459,0.7054550851743291,0.19327173722558322,RandomizedSearchCV
Baseline Logistic Regression,0.49802088044035797,0.49576616353943753,-0.0022547169009204393,Baseline
Tuned Logistic Regression,0.49802088044035797,0.49579515871059676,-0.0022257217297612097,RandomizedSearchCV
