Model,Training Rows Processed,Training Time (sec),Peak Python Memory (MB),Accuracy,Precision,Recall,F1,ROC-AUC
Random Forest,8000,1.95751883398043,1.2858171463012695,0.766,0.4452423698384201,0.6093366093366094,0.5145228215767634,0.7837776142860888
Incremental SGD Logistic,500000,0.4304102080059238,11.184243202209473,0.694,0.37041719342604296,0.7199017199017199,0.48914858096828046,0.7289400340247798
